	sequence_id	assignment	confidence_score
610	MN912141	2	0.8912647110909437
611	KJ189365	2	0.5050611494445711
612	MN923095	2	0.8912647110909437
613	KJ189342	2	0.5050611494445711
614	KY586445	2	0.8912647110909437
615	MN018287	2	0.5050611494445711
616	GU131727	2	0.8912647110909437
617	GU131831	2	0.8912647110909437
618	JN903580	2	0.5050611494445711
619	MF033224	2	0.5050611494445711
620	KY586323	2	0.8912647110909437
621	GQ199808	2	0.8912647110909437
622	KY586368	2	0.8912647110909437
623	FJ205872	2	0.5050611494445711
624	GU131713	2	0.8912647110909437
625	MN912231	2	0.8912647110909437
626	KY586349	2	0.8912647110909437
627	FJ196843	2	0.8912647110909437
628	FJ687427	2	0.8912647110909437
629	GU131793	2	0.8912647110909437
630	MF405201	2	0.8912647110909437
631	AY722802	2	0.6779813430897812
632	EU482822	2	0.8912647110909437
633	KY672935	2	0.8912647110909437
634	KY672934	2	0.8912647110909437
635	FJ639692	2	0.8912647110909437
636	JF937601	2	0.8912647110909437
637	JQ915079	2	0.6779813430897812
638	KC692512	2	0.5050611494445711
639	KJ189315	2	0.5050611494445711
640	GQ199812	2	0.8912647110909437
641	GU370048	2	0.8912647110909437
642	KF973469	2	0.5050611494445711
643	FJ898396	2	0.8912647110909437
644	KC692517	2	0.5050611494445711
645	EU482533	2	0.8912647110909437
646	KJ189320	2	0.5050611494445711
647	GU370049	2	0.8912647110909437
648	EU482567	2	0.5050611494445711
649	FJ898395	2	0.8912647110909437
650	FJ562104	2	0.5050611494445711
651	GQ199784	2	0.8912647110909437
652	FJ410216	2	0.8912647110909437
653	KY921903	2	0.5050611494445711
654	EU677155	2	0.8912647110909437
655	FJ873809	2	0.5050611494445711
656	FJ024472	2	0.8912647110909437
657	JQ045651	2	0.8912647110909437
658	KX621249	2	0.5050611494445711
659	MN018291	2	0.8912647110909437
660	LC335872	2	0.8912647110909437
661	EU596504	2	0.5050611494445711
662	MG840536	2	0.5050611494445711
663	FJ461313	2	0.8912647110909437
664	KC762621	2	0.8912647110909437
665	JQ922546	2	0.6779813430897812
666	MN018316	2	0.8912647110909437
667	GU131718	2	0.8912647110909437
668	KJ189327	2	0.5050611494445711
669	FJ390380	2	0.5050611494445711
670	FJ850090	2	0.6779813430897812
671	GU131982	2	0.5050611494445711
672	JQ045659	2	0.8912647110909437
673	LC428079	2	0.8912647110909437
674	GQ199839	2	0.8912647110909437
675	KX452055	2	0.8912647110909437
676	KY586402	2	0.8912647110909437
677	EU482801	2	0.8912647110909437
678	KM403590	2	0.5050611494445711
679	FJ205873	2	0.5050611494445711
680	GQ199803	2	0.8912647110909437
681	FJ024447	2	0.8912647110909437
682	EU482480	2	0.8912647110909437
683	KT827371	2	0.8912647110909437
684	MN933656	2	0.8912647110909437
685	KY586391	2	0.8912647110909437
686	KM403602	2	0.5050611494445711
687	FJ639696	2	0.8912647110909437
688	MH048669	2	0.8912647110909437
689	KP188567	2	0.6779813430897812
690	KC692515	2	0.5050611494445711
691	FJ384655	2	0.5050611494445711
692	KX452051	2	0.8912647110909437
693	FJ850093	2	0.5050611494445711
694	EU482710	2	0.8912647110909437
695	GU131740	2	0.8912647110909437
696	KX459386	2	0.5050611494445711
697	KM403587	2	0.5050611494445711
698	KX595191	2	0.8912647110909437
699	FJ882521	2	0.8912647110909437
700	KX452050	2	0.8912647110909437
701	FJ882549	2	0.8912647110909437
702	KY926849	2	0.6779813430897812
703	MG877557	2	0.6779813430897812
704	MG560265	2	0.8912647110909437
705	AY713475	2	0.6779813430897812
706	MN018335	2	0.8912647110909437
707	MF033222	2	0.8912647110909437
708	FJ410197	2	0.8912647110909437
709	KM403626	2	0.5050611494445711
710	KY586431	2	0.8912647110909437
711	EU081262	2	0.8912647110909437
712	LC428072	2	0.8912647110909437
713	KY586480	2	0.8912647110909437
714	KY586308	2	0.8912647110909437
715	GU131703	2	0.8912647110909437
716	GU131824	2	0.8912647110909437
717	GU131807	2	0.8912647110909437
718	GU131712	2	0.8912647110909437
719	FJ810419	2	0.5050611494445711
720	KT827379	2	0.8912647110909437
721	KY586365	2	0.8912647110909437
722	GQ398255	2	0.8912647110909437
723	EU249490	2	0.8912647110909437
724	FJ410210	2	0.8912647110909437
725	KY849733	2	0.8912647110909437
726	GU131764	2	0.8912647110909437
